,auction_id,experiment,date,hour,device_make,platform_os,browser,yes,no
10,004c8a83-1c0f-4a4a-ba9e-bc89e8c0c0c1,control,2020-07-10,13,iPhone,5,Mobile Safari,0,0
25,00d22463-2d1f-44de-8d67-11d6c6b96a00,exposed,2020-07-03,1,iPhone,5,Chrome Mobile iOS,0,0
26,00e4f247-b54b-4f95-a000-ec4645d5a692,control,2020-07-03,15,iPhone,5,Mobile Safari,0,0
51,01b04c3a-8107-4b53-8532-122ff003f900,control,2020-07-04,4,iPhone,5,Mobile Safari,0,0
73,0270f4d1-654e-42e9-afec-76963504ef45,control,2020-07-03,15,iPhone,5,Mobile Safari UI/WKWebView,0,0
91,02fd317b-aa5a-48da-bf2a-c93aafc41c2d,control,2020-07-03,15,iPhone,5,Mobile Safari,0,0
103,034a8627-9426-4f6a-8c68-83cbf305afaf,control,2020-07-08,19,iPhone,5,Mobile Safari,0,0
145,0467d28b-c734-4ba7-b3aa-718d12097ba1,exposed,2020-07-07,11,iPhone,5,Chrome Mobile iOS,0,0
155,04a7940c-147b-4988-82ba-5b90bf69df45,control,2020-07-03,15,iPhone,5,Mobile Safari,0,0
165,04d92e6c-db97-474a-8d59-8907ddbe9755,exposed,2020-07-06,5,iPhone,5,Mobile Safari,0,0
172,05198ebc-0181-463f-afee-3a1e63dcd894,control,2020-07-09,10,iPhone,5,Chrome Mobile iOS,0,0
177,053943f2-6aed-4322-b27f-644d69abc3dc,exposed,2020-07-08,19,iPhone,5,Mobile Safari,0,0
188,056fdef5-660b-4467-afbd-668dfa52d5a6,control,2020-07-10,3,iPhone,5,Mobile Safari,0,0
246,076c217b-5ee9-4118-9f5c-1fe7d00da5c8,control,2020-07-05,12,iPhone,5,Chrome Mobile iOS,0,0
281,0851fdd1-2a99-4648-9ef1-c7009a01398b,control,2020-07-03,15,iPhone,5,Mobile Safari,0,0
317,098ba3a8-c19b-4065-8ee8-65be36cad92b,control,2020-07-06,6,iPhone,5,Mobile Safari,0,0
340,0a64c7d0-5fea-4fc1-aa2c-4b6ac08e2e61,control,2020-07-03,15,iPhone,5,Chrome Mobile iOS,0,0
367,0b47c542-41e9-4d25-ab4a-b01ea48a803d,exposed,2020-07-07,19,iPhone,5,Mobile Safari,0,0
394,0c21ebe1-dd4b-4ba2-93b4-c8d45e342082,control,2020-07-03,15,iPhone,5,Mobile Safari,0,0
427,0cfbc21d-27af-4007-95bb-cc3a6201f44b,control,2020-07-03,15,iPhone,5,Mobile Safari,0,0
467,0dfd0b49-2745-4d72-9324-9a4a79e0f201,control,2020-07-10,6,iPhone,5,Mobile Safari,0,0
472,0e0e74dc-1f8d-4d27-a362-5cd9dfbfc972,control,2020-07-08,12,iPhone,5,Mobile Safari,0,0
497,0eecc045-7a76-437b-a3b0-30bf7bace888,control,2020-07-05,16,iPhone,5,Mobile Safari UI/WKWebView,0,0
501,0f105892-a33e-4ea5-aa69-77ac3cb27418,control,2020-07-04,6,iPhone,5,Mobile Safari,0,0
545,10d511fb-67b2-4625-9cf0-eeae88d2abf1,control,2020-07-03,15,iPhone,5,Mobile Safari UI/WKWebView,0,0
586,12113d43-9213-490a-a71c-768b7890bde7,control,2020-07-03,15,iPhone,5,Mobile Safari,0,0
596,12391a37-cac5-4a38-8180-06250d66fdb6,control,2020-07-08,21,iPhone,5,Mobile Safari,0,0
598,123a1bd9-3ac1-4e21-a3f9-20a3d02d763e,control,2020-07-08,21,iPhone,5,Mobile Safari,0,0
647,14056a3d-2161-4ebc-9f31-a3d5e48e8c5d,control,2020-07-03,15,iPhone,5,Mobile Safari,0,0
674,14fc86b9-3e3f-448a-b61d-89011b64dfd5,control,2020-07-05,16,iPhone,5,Mobile Safari,0,0
694,16008805-ad9c-4e57-a246-7e02e56e9abb,control,2020-07-10,13,iPhone,5,Mobile Safari UI/WKWebView,0,0
699,164e1608-0adf-407b-8c08-327f8cebaa01,control,2020-07-08,16,iPhone,5,Chrome Mobile iOS,0,0
712,16aae7ed-aadf-4e87-b595-185856838d23,control,2020-07-05,21,iPhone,5,Mobile Safari,0,0
719,16e41cf5-1564-497d-a85e-ae994ad30cc9,control,2020-07-06,3,iPhone,5,Mobile Safari,0,0
729,171faf5a-9fd4-43cd-a9ee-517efa3da1cd,control,2020-07-03,15,iPhone,5,Chrome Mobile iOS,0,0
735,1741e6a2-0e66-4131-ae7d-740869555bb5,control,2020-07-06,10,iPhone,5,Mobile Safari,0,0
742,1778bf59-f101-42b0-84ce-44657fe791dd,exposed,2020-07-10,16,iPhone,5,Mobile Safari,0,0
804,19e1775c-ab82-4f13-acfa-a1c45e3505d3,control,2020-07-04,6,iPhone,5,Mobile Safari,0,0
808,19f22822-120f-4b1a-8723-8ea2b439e965,exposed,2020-07-08,0,iPhone,5,Mobile Safari,0,0
815,1a346c88-a7d4-4290-8701-51d7c04b87c5,exposed,2020-07-04,17,iPhone,5,Mobile Safari,0,0
853,1b8dc531-31c6-43ac-a4d2-f1046d77f8f8,control,2020-07-04,3,iPhone,5,Mobile Safari,0,0
867,1c340016-b617-48e2-bf20-0d259a5d1c7f,control,2020-07-03,15,iPhone,5,Chrome Mobile iOS,0,0
926,1e21402b-f72a-4aea-a842-e4af31ca082c,control,2020-07-03,15,iPhone,5,Mobile Safari,0,0
927,1e333a30-1979-408e-8c4d-979552c0f593,control,2020-07-09,15,iPhone,5,Chrome Mobile iOS,0,0
965,1f745ec2-8438-4d87-a302-01741bc3b55c,exposed,2020-07-04,2,iPhone,5,Chrome Mobile iOS,0,0
973,1f911589-1d19-4781-95ca-829aec785fbe,exposed,2020-07-08,17,iPhone,5,Mobile Safari,0,0
978,1fbdfcd8-4fff-48fc-8aeb-103131648a85,control,2020-07-05,3,iPhone,5,Mobile Safari,0,0
992,201cb878-5072-4953-b0bf-aa606577ad67,exposed,2020-07-10,12,iPhone,5,Mobile Safari,0,0
1026,216e12e7-c261-44fa-9623-eb3edef8e585,exposed,2020-07-09,8,iPhone,5,Mobile Safari,0,0
1062,2283b808-6ab4-4b4d-accd-b168907465d4,exposed,2020-07-05,18,iPhone,5,Chrome Mobile iOS,0,0
1097,23b2028c-72ed-43b3-a2d7-d772b2d4d478,exposed,2020-07-03,8,iPhone,5,Mobile Safari,0,1
1116,24726c7d-a549-4a14-8438-ebe6ff5d55e7,control,2020-07-04,20,iPhone,5,Mobile Safari,0,0
1173,2643a01b-dcf5-45d4-8798-5b494d1c3534,control,2020-07-10,10,iPhone,5,Mobile Safari,0,0
1174,26448778-575d-4527-978f-f15ccfb2df93,control,2020-07-03,15,iPhone,5,Mobile Safari,0,0
1207,2742656f-565f-40f1-abf7-4b0db32d5052,control,2020-07-03,15,iPhone,5,Chrome Mobile iOS,0,0
1219,27e4e0f6-0a17-45b2-bf9b-54654543f075,exposed,2020-07-05,7,iPhone,5,Mobile Safari UI/WKWebView,0,0
1257,28f3df2e-be61-4a38-a264-70659703c342,exposed,2020-07-10,12,iPhone,5,Mobile Safari,0,0
1273,29bb0cea-abda-4ab7-a6ae-4603cf9de413,control,2020-07-03,15,iPhone,5,Mobile Safari,0,0
1298,2a68f26c-c527-4761-a36b-7340f03a9490,control,2020-07-09,13,iPhone,5,Chrome Mobile iOS,0,0
1340,2bf90871-4de3-4cbe-8a37-7074360458bf,exposed,2020-07-06,0,iPhone,5,Mobile Safari,0,0
1345,2c425e9d-b06e-4bc6-83d1-4510770c7082,exposed,2020-07-08,19,iPhone,5,Chrome Mobile iOS,0,0
1357,2c9f7869-8846-4e68-9691-4c0beb46ccbf,exposed,2020-07-03,14,iPhone,5,Chrome Mobile iOS,0,0
1379,2d43f358-1995-4f77-bb74-76467110876e,exposed,2020-07-05,11,iPhone,5,Mobile Safari,0,0
1381,2d55c72d-13f6-478f-9719-ae9e80b04765,control,2020-07-03,15,iPhone,5,Mobile Safari,0,0
1383,2d5c1d7a-6c8f-49aa-ba58-62645eb6a5d6,exposed,2020-07-06,9,iPhone,5,Mobile Safari,0,0
1414,2e6421dc-5e80-448f-8d86-c77cfd44337c,exposed,2020-07-03,6,iPhone,5,Mobile Safari,0,0
1424,2ea9361a-0ee2-48e6-8328-6efdc05e8276,exposed,2020-07-03,13,iPhone,5,Mobile Safari,0,0
1443,2f61adb3-7c2c-429b-b1b6-c26d2a84cabb,control,2020-07-03,15,iPhone,5,Mobile Safari,0,0
1460,2fda0a0d-60f8-4cc8-91ca-9f755bca5e51,control,2020-07-03,15,iPhone,5,Mobile Safari,0,0
1487,30d9f88a-0170-4562-8e38-d7ad76ffe3db,control,2020-07-10,8,iPhone,5,Mobile Safari UI/WKWebView,0,0
1489,30e0d5af-9014-4b8b-bde3-905b564ec357,control,2020-07-03,15,iPhone,5,Mobile Safari,0,0
1495,311a41e8-d23b-4756-ba03-1ff87b42d7e9,control,2020-07-03,15,iPhone,5,Mobile Safari,0,0
1503,315f28a9-2eef-4b1a-9627-96a461f3abd1,exposed,2020-07-05,21,iPhone,5,Mobile Safari,0,0
1542,330ea51c-f2fb-4100-a9ee-3276efbe1292,control,2020-07-09,6,iPhone,5,Mobile Safari,0,0
1553,33694f8b-5995-44f6-8b46-7aad3af39bd4,exposed,2020-07-05,3,iPhone,5,Mobile Safari,0,0
1621,35b28614-587a-4623-b335-1b4e1be01b3a,exposed,2020-07-05,18,iPhone,5,Chrome Mobile iOS,0,0
1642,36478451-4ef7-4fe6-9b3f-b9e90d5001bf,control,2020-07-09,17,iPhone,5,Mobile Safari,0,0
