,hour,platform_os,no,date_2020-07-03,date_2020-07-04,date_2020-07-05,date_2020-07-06,date_2020-07-07,date_2020-07-08,date_2020-07-09,date_2020-07-10,auction_id,experiment,device_make,browser
2552,13,6,0,0,1,0,0,0,0,0,0,2552,0,46,2
6850,20,5,0,0,0,0,0,0,1,0,0,6850,1,267,8
3986,7,6,1,0,0,1,0,0,0,0,0,3986,1,46,3
6162,10,6,0,0,0,0,1,0,0,0,0,6162,0,46,2
1185,15,6,0,1,0,0,0,0,0,0,0,1185,0,46,2
4365,15,6,0,1,0,0,0,0,0,0,0,4365,0,123,14
1028,4,6,0,0,0,1,0,0,0,0,0,1028,1,174,3
1754,20,6,1,0,0,0,0,1,0,0,0,1754,1,217,3
1757,20,6,0,0,0,0,0,0,1,0,0,1757,0,46,2
7922,15,6,0,1,0,0,0,0,0,0,0,7922,0,46,2
2920,15,6,0,1,0,0,0,0,0,0,0,2920,0,46,2
5175,15,6,0,1,0,0,0,0,0,0,0,5175,0,46,2
2467,1,6,0,0,1,0,0,0,0,0,0,2467,1,46,2
372,15,6,0,1,0,0,0,0,0,0,0,372,0,46,2
2949,7,6,0,0,1,0,0,0,0,0,0,2949,1,171,3
7930,14,6,0,0,0,0,0,0,0,0,1,7930,1,78,3
2375,15,5,0,1,0,0,0,0,0,0,0,2375,0,267,9
4382,15,6,0,1,0,0,0,0,0,0,0,4382,0,46,2
3306,3,6,0,0,1,0,0,0,0,0,0,3306,0,138,14
6297,10,6,0,0,0,0,0,1,0,0,0,6297,0,164,14
5603,23,5,0,0,0,0,0,0,1,0,0,5603,0,267,9
3495,10,6,0,0,0,0,0,0,0,1,0,3495,1,46,3
2483,16,6,0,0,0,0,0,0,0,0,1,2483,1,62,3
5285,18,6,0,0,0,0,0,0,0,1,0,5285,0,129,3
7913,15,6,0,0,0,1,0,0,0,0,0,7913,0,177,6
3028,0,6,0,0,0,0,0,0,0,1,0,3028,0,46,2
7145,15,6,0,1,0,0,0,0,0,0,0,7145,0,114,6
4173,7,6,0,0,1,0,0,0,0,0,0,4173,0,46,2
1541,10,6,0,0,1,0,0,0,0,0,0,1541,1,46,2
5504,15,5,0,1,0,0,0,0,0,0,0,5504,0,267,4
660,0,6,0,0,0,0,1,0,0,0,0,660,0,46,2
4633,9,6,0,0,1,0,0,0,0,0,0,4633,1,46,2
7416,8,6,0,1,0,0,0,0,0,0,0,7416,1,184,3
613,6,6,0,1,0,0,0,0,0,0,0,613,1,171,3
7792,1,6,0,0,1,0,0,0,0,0,0,7792,1,46,2
3087,15,6,0,1,0,0,0,0,0,0,0,3087,0,46,2
7872,15,6,0,1,0,0,0,0,0,0,0,7872,0,46,2
7231,7,6,0,0,0,0,0,0,1,0,0,7231,1,46,2
6333,16,6,0,0,0,0,0,0,1,0,0,6333,0,63,2
416,9,6,0,0,1,0,0,0,0,0,0,416,0,138,14
3675,6,6,0,0,0,0,0,0,0,0,1,3675,1,46,2
500,1,6,0,0,0,0,0,0,1,0,0,500,1,46,2
3454,4,6,0,0,1,0,0,0,0,0,0,3454,1,46,3
3654,15,6,0,1,0,0,0,0,0,0,0,3654,0,192,3
2245,15,6,0,1,0,0,0,0,0,0,0,2245,0,46,2
3283,18,6,0,0,0,0,0,0,1,0,0,3283,0,127,14
7833,15,6,0,1,0,0,0,0,0,0,0,7833,0,46,2
847,15,6,0,1,0,0,0,0,0,0,0,847,0,46,2
1433,11,6,0,0,0,0,0,0,0,0,1,1433,1,101,14
1115,4,6,1,0,0,1,0,0,0,0,0,1115,0,177,6
7895,18,6,0,0,0,1,0,0,0,0,0,7895,1,46,2
4474,19,6,0,0,0,1,0,0,0,0,0,4474,1,197,3
873,21,6,0,0,1,0,0,0,0,0,0,873,1,123,6
3039,15,6,0,1,0,0,0,0,0,0,0,3039,0,46,2
